x_over_h,Cf_Spalding,Cf_ML,Cf_ML_newGrid,Cf_Spalding_newGrid,Cf_Classifier_newGrid
2.898649112880358416e+02,5.196285530848620410e-03,6.715811517320334489e-03,8.058607765353702906e-03,9.361487214900807152e-03,8.650055916012273222e-03
2.920714616630356204e+02,6.101763284597876147e-03,8.526591028488158044e-03,1.002255053153996989e-02,1.057275808376150275e-02,1.063195797952408081e-02
2.942654489308927737e+02,7.243846276065903610e-03,1.090784378612456168e-02,1.264147240071346670e-02,1.203572047394321255e-02,1.322764825352744887e-02
2.964547512701785763e+02,8.747325388605578511e-03,1.420854764140457548e-02,1.637149391171614787e-02,1.392580812174671993e-02,1.686537594981999885e-02
2.986588316273214332e+02,1.069882910054148831e-02,1.857615554277363204e-02,2.171605249733192869e-02,1.635925102019872637e-02,2.203378148715737575e-02
3.009041845023215274e+02,1.317478954604375807e-02,2.415255913816185401e-02,2.941573909562782488e-02,1.944910507427329016e-02,2.964112220690120342e-02
3.032175737166071485e+02,1.620956983894799447e-02,3.110280659576030587e-02,3.982087717406776473e-02,2.319589268564042212e-02,4.031829772685238678e-02
3.056235290558929591e+02,1.964445457124465444e-02,3.891789538690428041e-02,5.322141252735763245e-02,2.757870455152417952e-02,5.466145760656891672e-02
3.081354948416072261e+02,2.271638795957888965e-02,4.450758878895753196e-02,6.670587730125439319e-02,3.174464622469501396e-02,6.952497378534017169e-02
3.107394176273213589e+02,2.408081281209868349e-02,4.351011426248319741e-02,7.321221941413430523e-02,3.384619192054675457e-02,7.671041308202003473e-02
3.133963362701786082e+02,2.325630221484581428e-02,3.634822807083826907e-02,6.722617745225777097e-02,3.229546810762890657e-02,6.988188881291126919e-02
3.160715357166071726e+02,2.112307363900114629e-02,2.638519828057341726e-02,5.601386262728703935e-02,2.906856524102954809e-02,5.722133355251143860e-02
3.187500000023214852e+02,1.924254966666666747e-02,1.776421233333333113e-02,4.585349127048405499e-02,2.600641717623855542e-02,4.586269133562916045e-02
